"created_at","screen_name","text"
2020-04-20 13:59:00,"JoeBiden","On this week’s episode of Here’s the Deal, Senator @AmyKlobuchar joins me for a discussion on how COVID-19 has impacted her family and what drove her to get involved in politics.

Listen to the full episode at: https://t.co/t11Fa0TZjc https://t.co/YaLgMAQNff"
2020-04-20 00:32:25,"JoeBiden","At a time when Trump is fanning the flames of white supremacy and hatred in our country, my heart is with the families of those we lost in the Oklahoma City bombing 25 years ago today. We must never give up the fight against these forces of hate and intolerance. https://t.co/fuZuyK35Ed"
2020-04-19 23:03:25,"JoeBiden","Tune in to watch @SymoneDSanders and actor @TonyGoldwyn host a town hall on how COVID-19 has impacted workers in the entertainment industry: https://t.co/xk0GcSpr50"
2020-04-19 20:53:33,"JoeBiden",".@DrBiden and I are keeping the loved ones of the more than 40,000 people in the U.S. we've lost due to COVID-19 in our prayers. This is a solemn day for our nation, and there will be more hard days ahead. But if we pull together, we will get through this. I promise. https://t.co/WznDkIMRo8"
2020-04-19 20:18:00,"JoeBiden","Tonight, @SymoneDSanders and actor @TonyGoldwyn will be hosting a town hall focused on how COVID-19 is impacting workers in the entertainment industry.

Tune in at 7 PM ET to watch: https://t.co/xk0GcS7PGq https://t.co/VmSvAbIaon"
2020-04-19 18:55:00,"JoeBiden","To everyone working on the front lines of this crisis, thank you. We truly couldn't get through this without you. https://t.co/vr10U5pca6"
2020-04-19 16:50:00,"JoeBiden","No President can promise to prevent future outbreaks. But I can promise you that when I'm President, we will prepare better, respond better, and recover better. We'll listen to the experts and heed their advice. And I will always tell you the truth."
2020-04-19 15:01:00,"JoeBiden","At a time when studies are linking air pollution with COVID-19 mortality rates for the most vulnerable in our society, the Trump Administration is rolling back environmental protections — allowing more poison into our air. https://t.co/047lsdtrQN"
2020-04-19 00:51:16,"JoeBiden","As Kierkegaard said, “faith sees best in the dark.” I've always believed that. This pandemic is keeping many communities apart, but we've still got to keep the faith. Jill and I are wishing a Happy Easter to all of the Orthodox Christians celebrating around the world. https://t.co/3gQVAOtdzk"
2020-04-19 00:00:31,"JoeBiden","The United States should be standing up for freedom and standing with the people of Hong Kong. Instead, Trump has said he's “standing with Xi Jinping.” That's weak. We need to be strong on values when it comes to China. That's what I'll do as president. https://t.co/O2o66tJFkY"
2020-04-18 23:25:24,"JoeBiden","I couldn't be prouder of my friends @LadyGaga and Chris Martin of @Coldplay for organizing the @GlblCtzn One World: #TogetherAtHome broadcast. We are all in this fight together — and if we stand as one, we will defeat COVID-19. https://t.co/TLpW631qfR"
2020-04-18 21:20:00,"JoeBiden","On Sunday night, @SymoneDSanders and actor @TonyGoldwyn will be hosting an unemployment town hall on how COVID-19 is impacting entertainment workers. 

Tune in tomorrow at 7 PM ET to watch live: https://t.co/xk0GcS7PGq https://t.co/NEMjeyisJx"
2020-04-18 19:30:00,"JoeBiden","We will not be defeated. https://t.co/PSbYSIE4CM"
2020-04-18 18:44:00,"JoeBiden","Donald Trump left our country unprepared and unprotected for the worst public health and economic crisis in our lifetime — and now we're paying the price. https://t.co/aCxcqQqUqw"
2020-04-18 18:01:00,"JoeBiden","Donald Trump says he’s a wartime president — it’s time for him to act like one."
2020-04-18 14:30:00,"JoeBiden","Donald Trump may not like it, but it's his responsibility to step up and lead our nation's testing strategy. Mass testing is key to reopening the economy and returning to some semblance of normalcy. https://t.co/AYmwnMmDB4"
2020-04-17 23:55:00,"JoeBiden","Donald Trump continues to do the exact thing we teach our kids not to do: blame others. It’s always somebody else's fault — never his. It’s unbelievable.

We deserve better from our commander in chief. https://t.co/ZNEDGwozyu"
2020-04-17 22:20:00,"JoeBiden","Donald Trump is not responsible for COVID-19, but he is responsible for our slow, uncoordinated response.

Experts say that if we had acted two weeks earlier, more lives could have been saved.

Trump failed to take swift action—and we're paying the price. https://t.co/nyq6DpLOid"
2020-04-17 19:02:00,"JoeBiden","President Trump is trying to rewrite history when it comes to China and COVID-19 — but the facts don't back him up. Tony Blinken was the Deputy Secretary of State and is one of my top foreign policy advisors. He'll explain. https://t.co/si3vDHnF2r"
2020-04-17 18:02:00,"JoeBiden","The uncomfortable truth is that Donald Trump left America exposed and vulnerable to this pandemic. He ignored the warnings of health experts and intelligence agencies and put his trust in China's leaders instead. Now, we're all paying the price.

Let me explain how we got here: https://t.co/esvCaGki9V"
2020-04-17 16:30:00,"JoeBiden","I know the American people will beat this. We’re brave and big-hearted. We’ve emerged stronger from every crisis that has tested us as a nation — and we will again."
2020-04-17 14:00:01,"JoeBiden","We’re in the middle of a global pandemic. No one feeling ill should have to choose between earning a paycheck or staying home to recover. We need to provide paid sick leave to everyone who needs it immediately."
2020-04-17 00:30:00,"JoeBiden","It's been a big week: President Obama, Senator Sanders, and Senator Warren all endorsed our campaign — and we need your help to keep this momentum going.

I know times are tough, but if you're able, please chip in today: https://t.co/xMh8n6xLAc"
2020-04-16 23:30:00,"JoeBiden","Together, we will defeat Donald Trump. https://t.co/2nF0qVGGaH"
2020-04-16 22:40:00,"JoeBiden","Today’s news that more than 22 million people filed unemployment claims over the last month is devastating. It’s clear more needs to be done to help hardworking Americans—so I’m calling for a bigger, bolder approach to keeping people on the job. Read more: https://t.co/r65WXgLKLz"
2020-04-16 20:50:00,"JoeBiden","These racist acts have got to stop. No one should be targeted for what they look like, where they or their ancestors come from, or who they are.

COVID-19 is a danger to everyone. We will stop it by coming together—not by targeting people of AAPI heritage. https://t.co/y8vYAQzvsW"
2020-04-16 18:50:00,"JoeBiden","Here's the simple truth: This nation has never been defeated when we're together — and we're not going to be defeated now. We will overcome this. https://t.co/7Irkhnbf6I"
2020-04-16 17:01:00,"JoeBiden","When we emerge from this crisis, we can't just go back to the way things were. We need to build a better future for all."
2020-04-16 14:15:00,"JoeBiden","To combat COVID-19, we need a decisive public health response to curb its spread and a comprehensive economic response that delivers real relief to Americans.

I've released several plans outlining exactly what I would do if I were president. Take a look: https://t.co/YLHCGF1YM9"
2020-04-16 01:59:08,"JoeBiden","When somebody is President of the United States, the responsibility is total. https://t.co/hmhkBymGob"
2020-04-16 00:45:04,"JoeBiden","So this week, we’re working through what ours will be. There are a few I know: compassion, kindness, humility, gratitude, and joy. But I want your help. Our supporters have been here from the start—and I want to know: what should be in our campaign’s code? https://t.co/UoRbb41RHD"
2020-04-16 00:45:04,"JoeBiden","We won’t defeat this President by being like him. We’ll win by doing the opposite. Where he seeks to divide us, we’ll connect people. Where he shows cruelty, we’ll show compassion. And when he fights, we’ll fight harder. But we can’t do it without you."
2020-04-16 00:45:04,"JoeBiden","Mayor @PeteButtigieg’s campaign had a set of “rules of the road” that helped define the character of his campaign and his supporters. I think it’s a good idea, and one I’d like @TeamJoe to adopt."
2020-04-16 00:45:04,"JoeBiden","In the Biden family, we have a code: My mom used to always tell me, “Joey, no one is better than you. Everyone is your equal, and everyone is equal to you.” I’m working on building one for our campaign, too."
2020-04-15 22:40:00,"JoeBiden","Managing an economic relief and recovery effort is hard, painstaking work. The devil is in the details. It’s all about follow-through.

I've done the work before, and I'll be ready to do it on day one as president. https://t.co/a7oCXZqCL2"
2020-04-15 20:15:00,"JoeBiden","We are building the movement that will beat Donald Trump.

Join us: https://t.co/gnaFCACYrW https://t.co/pHIXCHZ0cm"
2020-04-15 19:11:09,"JoeBiden","Millions of folks are relying on the workers at the front lines of this crisis. I’ll be talking to a few of them for our virtual town hall. Tune in: https://t.co/r3HMc7MpJs"
2020-04-15 18:20:00,"JoeBiden","This afternoon, I’ll be hosting a virtual town hall with a few workers on the front lines of this crisis. Tune in at 3:00 PM ET to watch live: https://t.co/xk0GcS7PGq https://t.co/koBtR3Ahq7"
2020-04-15 17:20:00,"JoeBiden","COVID-19 is amplifying so many inequities in our society. We have to ensure support gets to those who need it immediately, and then do the necessary work to rip out the structural racism that creates these inequalities. https://t.co/fDUcAdfOHz"
2020-04-15 15:10:56,"JoeBiden","The President’s vanity is preventing people from paying their bills. https://t.co/NjtUDJbY4e"
2020-04-15 14:32:54,"JoeBiden","We are in a battle for the soul of this nation and I’m proud to have the fiercest of fighters, Senator @EWarren, on my side. With her help, we’re going to beat Donald Trump and create a government that works for everyone — not just the wealthy and well-connected. Let’s do this. https://t.co/X0G4AZta1S"
2020-04-15 01:42:15,"JoeBiden","From my basement to your sneaker room. Tune in Thursday at 11 PM ET on @SHODesusAndMero to watch! https://t.co/3gPnxCwTVe"
2020-04-15 01:00:00,"JoeBiden","I want Donald Trump to look these folks in the eye and explain to them why they or their loved ones haven’t been able to get tested for COVID-19. We’ve got to do better. https://t.co/CUY6nmCPjl"
2020-04-14 23:20:00,"JoeBiden","Let’s do this. https://t.co/INkan0GxGL"
