"created_at","screen_name","text"
2020-02-23 03:04:30,"JoeBiden","Thank you, Nevada! We're headed to South Carolina but have one more request: if you can chip in a few dollars to keep our momentum going we would greatly appreciate it.

Every donation makes a big difference: https://t.co/cTIWe94TDz https://t.co/D1e5DOyf7s"
2020-02-23 02:33:45,"JoeBiden","Despite what the press said this week, we’re alive, we’re coming back, and we’re gonna win! https://t.co/qcwiLvJ43x"
2020-02-23 02:10:00,"JoeBiden","I ain’t a socialist.

I ain’t a plutocrat.

I’m a Democrat — and I'm proud of it. https://t.co/c8youdmUEL"
2020-02-23 01:41:41,"JoeBiden","Nevada, y’all did it for me! Thank you to all of our incredible supporters, volunteers, and organizers around the state. We couldn’t have done this without you.

Next stop: South Carolina! https://t.co/iEE6pwSn3H"
2020-02-23 01:02:00,"JoeBiden","While not every vote in Nevada has been counted yet, one thing is clear: our comeback starts here. Now, we’re headed to South Carolina where we’re all-in to win.
 
Chip in to help fuel our victory: https://t.co/t7T5Ss4gLB"
2020-02-23 00:27:35,"JoeBiden","I'm about to take the stage from Nevada. Tune in to watch live: https://t.co/dd0LK2fnLq"
2020-02-22 20:30:00,"JoeBiden","Thank you to all of our incredible volunteers in Nevada for all your hard work — your faith in our campaign means the world to me.

We’re taking this campaign across the country and need your help. Head to https://t.co/r0RlGWdvLe to get involved today. https://t.co/uA1dv5hjL3"
2020-02-22 19:08:00,"JoeBiden","Do you believe in life after Trump? https://t.co/azZ1qZCqFW"
2020-02-22 17:40:00,"JoeBiden","It’s Caucus Day, Nevada! It’s time for the West to make its voice heard. Head to https://t.co/zMsC79ZH4k to confirm your caucus location and make a plan to be there by 11:00 AM PT. Let’s win this! https://t.co/9cvUjyriII"
2020-02-22 16:58:00,"JoeBiden","For too many people across the country, the daily scourge of gun violence has turned normal into a living nightmare. It has to end. I’ve taken on the @NRA and won — twice. And I’ll do it again as president to end our gun violence epidemic. https://t.co/wznJj1HfLD"
2020-02-22 15:53:00,"JoeBiden","All your hard work has led to this moment, Nevada! 
Let's make our voices heard and caucus for @JoeBiden today at 11 a.m. 
#NVCaucus #TeamJoe #FITW https://t.co/h2MDLfTQHt https://t.co/hD4m1w6wG5"
2020-02-22 14:25:00,"JoeBiden","Today’s the day, Nevada! Confirm your caucus location at https://t.co/rVHMryrt32 and make a plan to arrive by 11:00 AM PT. https://t.co/xxC3C7nRFy"
2020-02-22 02:45:00,"JoeBiden","The Comprehensive Immigration Reform Act of 2007 was our best shot at fixing our broken immigration system. It had bipartisan support and would have put millions of immigrants on the pathway to citizenship.

Bernie Sanders voted against it. https://t.co/7eU37Jq2RC"
2020-02-22 02:39:43,"JoeBiden","#TeamJoe Nevada – now’s the time to confirm where you’ll caucus for @JoeBiden tomorrow!<U+0001F4CD>

Find your precinct caucus location at https://t.co/lchXc3ZMhd. https://t.co/ycYjLWGtEw"
2020-02-22 01:01:00,"JoeBiden","Donald Trump and Stephen Miller have raised the standard of cruelty with their inhumane immigration policies. We have to get them out of the White House and ensure our laws reflect our values as a nation of immigrants."
2020-02-22 00:12:00,"JoeBiden","Tomorrow is Caucus Day in Nevada, and we need your help to bring us across the finish line. I know we’ve asked a lot lately, but if you have a few extra minutes, please head to https://t.co/IA2o4NIaRM to talk with caucusgoers about what’s at stake. I'd greatly appreciate it. https://t.co/T33OyMNINP"
2020-02-21 23:33:00,"JoeBiden","Vladimir Putin doesn’t want me to be President. He doesn’t want me to be our nominee. If you’re wondering why — it’s because I’m the only person in this field who’s ever gone toe-to-toe with him."
2020-02-21 23:10:00,"JoeBiden","On day one, I will send a bill to Congress providing a roadmap to citizenship for 11 million undocumented immigrants and take action to protect Dreamers. https://t.co/oepf2yWDrR"
2020-02-21 21:54:57,"JoeBiden","<U+0001F6A8>NEVADA — tomorrow is Caucus Day! <U+0001F6A8>

It’s time to show up and have your voice heard. Head to https://t.co/lchXc3IbpF to make sure you have all of the information you need. #TeamJoe https://t.co/V9xVjV53Bo"
